# Arquivo: selos.csv (45.322 transações)
# Cliente_ID,Quantidade,Data_Obtencao,Estabelecimento,Operador,Observacoes
1,2,2018-01-15 10:30:00,Açaí Sublime,João,Cliente preferencial
2,3,2018-01-15 11:45:00,Açaí Sublime,Maria,Pessoa física
3,1,2018-01-15 14:20:00,Açaí Sublime,Pedro,Cliente frequentes
4,2,2018-01-16 09:15:00,Açaí Sublime,João,
5,1,2018-01-16 10:30:00,Açaí Sublime,Maria,
6,3,2018-01-16 15:45:00,Açaí Sublime,Pedro,Novo cliente
7,2,2018-01-17 08:20:00,Açaí Sublime,Ana,
8,1,2018-01-17 11:10:00,Açaí Sublime,João,Participante do programa
9,2,2018-01-17 16:30:00,Açaí Sublime,Maria,
10,3,2018-01-18 09:45:00,Açaí Sublime,Pedro,Pessoa jurídica
11,1,2018-01-18 13:20:00,Açaí Sublime,Ana,
12,2,2018-01-19 10:10:00,Açaí Sublime,João,
13,3,2018-01-19 12:40:00,Açaí Sublime,Maria,
14,1,2018-01-20 08:30:00,Açaí Sublime,Pedro,
15,2,2018-01-20 14:55:00,Açaí Sublime,Ana,Cliente preferencial
16,1,2018-01-21 11:20:00,Açaí Sublime,João,
17,3,2018-01-21 16:10:00,Açaí Sublime,Maria,
18,2,2018-01-22 09:40:00,Açaí Sublime,Pedro,
19,1,2018-01-22 13:25:00,Açaí Sublime,Ana,
20,2,2018-01-23 10:15:00,Açaí Sublime,João,Participante do programa
21,3,2018-01-23 15:30:00,Açaí Sublime,Maria,
22,1,2018-01-24 11:45:00,Açaí Sublime,Pedro,
23,2,2018-01-24 14:20:00,Açaí Sublime,Ana,
24,3,2018-01-25 09:10:00,Açaí Sublime,João,
25,1,2018-01-25 12:35:00,Açaí Sublime,Maria,Pessoa física
26,2,2018-01-26 16:15:00,Açaí Sublime,Pedro,
27,3,2018-01-27 08:45:00,Açaí Sublime,Ana,
28,1,2018-01-27 13:20:00,Açaí Sublime,João,Cliente frequentes
29,2,2018-01-28 10:50:00,Açaí Sublime,Maria,
30,3,2018-01-28 15:05:00,Açaí Sublime,Pedro,
31,1,2018-01-29 11:30:00,Açaí Sublime,Ana,
32,2,2018-01-29 14:40:00,Açaí Sublime,João,
33,3,2018-01-30 09:15:00,Açaí Sublime,Maria,Novo cliente
34,1,2018-01-30 12:25:00,Açaí Sublime,Pedro,
35,2,2018-01-31 16:55:00,Açaí Sublime,Ana,
